1. [1] Dolo 650 650mg | Tablet | Micro Labs
2198. [2198] Amppride M 2gm | Syrup | Wockhardt
2199. [2199] Cilkacin A 0.5mg | Powder | Biocon
2200. [2200] Tigeprevir O 650mg | Sachet | Zydus Cadila
2201. [2201] Omexacin Plus 75mg | Cream | Ipca
2202. [2202] Dacclav 50mcg | Ointment | Sun Pharma
2203. [2203] Cidsone 2gm | Ointment | Lupin
2204. [2204] Cefdipine ER 25mg | Inhaler | Sanofi
2205. [2205] Meropine Forte 150mg | Ointment | Alembic
2206. [2206] Velbuvir 100mcg | Tablet | GSK
2207. [2207] Trilomine 150mg | Capsule | Abbott
2208. [2208] Merocoxib 2mg | Inhaler | Wockhardt
2209. [2209] Vabopitant Forte 400mg | Injection | Intas
2210. [2210] Clavpitant 40mg | Tablet | Emcure
2211. [2211] Levtidine 2.5mg | Drops | Sun Pharma
2212. [2212] Meroline Plus 5mg | Capsule | Serum Institute
2213. [2213] Tigezepam 2mg | Powder | Macleods
2214. [2214] Sanostatin 0.5mg | Sachet | Alkem
2215. [2215] Ampterol Plus 500mg | Cream | USV
2216. [2216] Amoclav Forte 1mg | Ointment | Serum Institute
2217. [2217] Doriasvir 10mg | Tablet | USV
2218. [2218] Oxasone 200mg | Syrup | Macleods
2219. [2219] Azithzine SR 500mg | Syrup | Sun Pharma
2220. [2220] Ticapram 10mg | Cream | Aristo
2221. [2221] Levlol 25mg | Sachet | Glenmark
2222. [2222] Clinxicam 25mg | Injection | Zydus Cadila
2223. [2223] Oxaprazole 2gm | Inhaler | Mankind
2224. [2224] Bacpenem M 500mg | Injection | Intas
2225. [2225] Valox 1000mg | Injection | Mankind
2226. [2226] Farpine A 2.5mg | Powder | Wockhardt
2227. [2227] Cetpram Forte 5ml | Syrup | Dr. Reddys
2228. [2228] Tazoflozin 1000mg | Sachet | Pfizer
2229. [2229] Panzolam 2gm | Ointment | FDC
2230. [2230] Ganmycin A 400mg | Capsule | Dr. Reddys
2231. [2231] Colcoxib D 10mg | Injection | Novartis
2232. [2232] Tigeformin Forte 75mg | Powder | Serum Institute
2233. [2233] Linfine 25mg | Sachet | Micro Labs
2234. [2234] Penterol M 20ml | Injection | Wockhardt
2235. [2235] Amoxsone 20mg | Injection | Sun Pharma
2236. [2236] Velkacin 5ml | Cream | Glenmark
2237. [2237] Baclam SR 20ml | Ointment | Torrent
2238. [2238] Azithzine 5mg | Tablet | Sun Pharma
2239. [2239] Cidpraz M 2gm | Capsule | Emcure
2240. [2240] Omelol A 50mg | Inhaler | GSK
2241. [2241] Foscet 2gm | Ointment | Micro Labs
2242. [2242] Releasvir A 800mg | Sachet | GSK
2243. [2243] Cilstatin O 10mg | Injection | Alembic
2244. [2244] Oxama 40mg | Injection | Serum Institute
2245. [2245] Diclofungin 150mg | Ointment | Aurobindo
2246. [2246] Doriclav A 2gm | Ointment | Cipla
2247. [2247] Linzosin M 75mg | Powder | Intas
2248. [2248] Lednide 650mg | Ointment | Zydus Cadila
2249. [2249] Amppam D 0.5mg | Drops | Glenmark
2250. [2250] Reletidine ER 40mg | Sachet | Ipca
2251. [2251] Velsartan 2gm | Injection | Dr. Reddys
2252. [2252] Bacnide A 1gm | Ointment | Wockhardt
2253. [2253] Merolam 10ml | Syrup | Zydus Cadila
2254. [2254] Clavline 200mcg | Injection | Lupin
2255. [2255] Colzole 2mg | Capsule | Zydus Cadila
2256. [2256] Biazolam ER 2gm | Powder | J.B. Chemicals
2257. [2257] Clavfine 250mg | Cream | Aristo
2258. [2258] Linsone 20ml | Ointment | Aristo
2259. [2259] Ticaformin 75mg | Powder | Mankind
2260. [2260] Valzepam 100mg | Tablet | J.B. Chemicals
2261. [2261] Omepride 2mg | Drops | Serum Institute
2262. [2262] Pensolone SR 1000mg | Syrup | Sun Pharma
2263. [2263] Tazozole D 20mg | Tablet | Alembic
2264. [2264] Tazpril M 10mg | Cream | Wockhardt
2265. [2265] Colpenem 200mcg | Ointment | Dr. Reddys
2266. [2266] Atorpenem 1mg | Injection | Ipca
2267. [2267] Azlostin SR 25mg | Syrup | Macleods
2268. [2268] Montfungin 10ml | Sachet | Macleods
2269. [2269] Clincoxib O 50mg | Powder | Macleods
2270. [2270] Amlline ER 75mg | Sachet | Macleods
2271. [2271] Panisetron 5mg | Cream | Sanofi
2272. [2272] Panvir 2.5mg | Powder | Glenmark
2273. [2273] Ledstatin Forte 1000mg | Powder | Alembic
2274. [2274] Oxastatin 100mg | Inhaler | Cipla
2275. [2275] Dorima 650mg | Capsule | Zydus Cadila
2276. [2276] Metprevir SR 1000mg | Capsule | Cipla
2277. [2277] Telpine SR 75mg | Ointment | Novartis
2278. [2278] Amlasvir D 5mg | Tablet | Emcure
2279. [2279] Tigepride ER 250mg | Injection | Biocon
2280. [2280] Omepram M 200mg | Ointment | Wockhardt
2281. [2281] Tigepram 5mg | Sachet | Alembic
2282. [2282] Azloma M 20ml | Inhaler | Alkem
2283. [2283] Cetkast O 20ml | Cream | Mankind
2284. [2284] Pivfine 200mcg | Tablet | Ipca
2285. [2285] Acidone 650mg | Injection | Zydus Cadila
2286. [2286] Omesone Forte 20mg | Inhaler | Dr. Reddys
2287. [2287] Ticafine 50mcg | Sachet | GSK
2288. [2288] Rabasvir A 800mg | Injection | Mankind
2289. [2289] Paraprevir Forte 100mcg | Injection | Biocon
2290. [2290] Famprofen D 400mg | Inhaler | Biocon
2291. [2291] Valmine 50mcg | Inhaler | USV
2292. [2292] Emppiride M 200mg | Inhaler | Wockhardt
2293. [2293] Tazozolam 800mg | Injection | GSK
2294. [2294] Amofenac 10mg | Tablet | Abbott
2295. [2295] Cetmycin 400mg | Tablet | J.B. Chemicals
2296. [2296] Azlopam M 10mg | Injection | Novartis
2297. [2297] Telformin 100mcg | Drops | Mankind
2298. [2298] Empfungin M 10ml | Powder | USV
2299. [2299] Diclozolam 40mg | Sachet | GSK
2300. [2300] Amoxformin M 250mg | Inhaler | Alembic
2301. [2301] Cilsetron 1gm | Powder | Pfizer
2302. [2302] Meroral Forte 650mg | Cream | Abbott
2303. [2303] Cetprofen ER 1000mg | Capsule | Sanofi
2304. [2304] Carbfine 5ml | Capsule | Micro Labs
2305. [2305] Imisetron 250mg | Capsule | Aurobindo
2306. [2306] Erystin 500mg | Ointment | Serum Institute
2307. [2307] Colpam 50mcg | Cream | Micro Labs
2308. [2308] Vabovir A 1gm | Cream | Abbott
2309. [2309] Glimtine 400mg | Capsule | Serum Institute
2310. [2310] Dorifine O 20mg | Drops | Pfizer
2311. [2311] Ganbactam A 100mg | Sachet | Sanofi
2312. [2312] Imilam M 20ml | Powder | Emcure
2313. [2313] Fampiride Plus 50mcg | Cream | Dr. Reddys
2314. [2314] Levflozin A 2gm | Syrup | Glenmark
2315. [2315] Vaboprofen D 20ml | Tablet | Serum Institute
2316. [2316] Linecycline 75mg | Drops | Alkem
2317. [2317] Ticacillin Plus 5mg | Powder | Sanofi
2318. [2318] Parasolone 100mg | Ointment | GSK
2319. [2319] Tigepium Forte 1000mg | Ointment | FDC
2320. [2320] Cetsolone 1gm | Ointment | Novartis
2321. [2321] Nafconazole 2mg | Syrup | Mankind
2322. [2322] Cidlukast M 50mg | Capsule | Micro Labs
2323. [2323] Carbbactam 2.5mg | Capsule | Sanofi
2324. [2324] Metcet Plus 100mg | Tablet | Cipla
2325. [2325] Sanocycline D 200mcg | Inhaler | Micro Labs
2326. [2326] Ometerol O 1000mg | Syrup | Lupin
2327. [2327] Imifungin O 5ml | Injection | Alembic
2328. [2328] Bacmicin O 5ml | Drops | Alkem
2329. [2329] Amonide 250mg | Powder | Glenmark
2330. [2330] Ticamicin 2.5mg | Syrup | Micro Labs
2331. [2331] Montnide D 250mg | Syrup | J.B. Chemicals
2332. [2332] Sanopride Forte 10mg | Ointment | Alembic
2333. [2333] Ganconazole 100mg | Syrup | Alembic
2334. [2334] Sitconazole M 800mg | Drops | Cipla
2335. [2335] Rosumicin 25mg | Cream | Aurobindo
2336. [2336] Methpride M 250mg | Tablet | Torrent
2337. [2337] Tazgliptin 1gm | Inhaler | Sanofi
2338. [2338] Ampzosin A 100mg | Sachet | Serum Institute
2339. [2339] Tazopium 40mg | Cream | FDC
2340. [2340] Rosuterol 650mg | Injection | Abbott
2341. [2341] Ticacoxib 500mg | Capsule | Mankind
2342. [2342] Imidipine M 2mg | Inhaler | Emcure
2343. [2343] Tenlam 250mg | Cream | Zydus Cadila
2344. [2344] Cloxstin Plus 2mg | Drops | Intas
2345. [2345] Omebactam M 1000mg | Injection | Aurobindo
2346. [2346] Lineclav Forte 1mg | Syrup | Wockhardt
2347. [2347] Avipram O 10ml | Powder | Alkem
2348. [2348] Cilpraz ER 1mg | Tablet | Sanofi
2349. [2349] Aciprevir 50mg | Sachet | Biocon
2350. [2350] Amlpraz 1mg | Cream | Glenmark
2351. [2351] Velclav M 75mg | Injection | Aurobindo
2352. [2352] Dapfine 2mg | Injection | Wockhardt
2353. [2353] Vabonide Forte 0.5mg | Drops | Alembic
2354. [2354] Clavstin 400mg | Syrup | Sun Pharma
2355. [2355] Pivfungin M 20mg | Drops | Ipca
2356. [2356] Trilostin M 5ml | Syrup | Ipca
2357. [2357] Dapmycin ER 5mg | Powder | Aurobindo
2358. [2358] Acilol 5ml | Ointment | Dr. Reddys
2359. [2359] Sulox ER 1gm | Drops | Glenmark
2360. [2360] Azithpine O 5ml | Sachet | Dr. Reddys
2361. [2361] Dorilol 40mg | Capsule | J.B. Chemicals
2362. [2362] Cilbactam 10ml | Capsule | Novartis
2363. [2363] Tazflozin 250mg | Capsule | Glenmark
2364. [2364] Ganstin A 650mg | Sachet | Cipla
2365. [2365] Rabzolam O 1gm | Inhaler | Aristo
2366. [2366] Ribapam 25mg | Capsule | Biocon
2367. [2367] Amlma SR 250mg | Inhaler | Torrent
2368. [2368] Azlopraz 50mg | Drops | Dr. Reddys
2369. [2369] Atorpride O 500mg | Capsule | Ipca
2370. [2370] Penpine Plus 50mcg | Injection | Intas
2371. [2371] Ticazine 2mg | Ointment | Sanofi
2372. [2372] Oxasone 50mg | Injection | Lupin
2373. [2373] Metlol 50mcg | Tablet | Emcure
2374. [2374] Cidfine 2gm | Ointment | Alkem
2375. [2375] Avipenem 2.5mg | Cream | FDC
2376. [2376] Linemine O 1000mg | Tablet | J.B. Chemicals
2377. [2377] Cefconazole 10ml | Drops | Aristo
2378. [2378] Relezosin M 150mg | Ointment | Alkem
2379. [2379] Avizepam 100mg | Sachet | Pfizer
2380. [2380] Biapraz A 10ml | Ointment | Wockhardt
2381. [2381] Sitformin 10ml | Tablet | USV
2382. [2382] Acivir 20mg | Syrup | FDC
2383. [2383] Sofkast 75mg | Injection | Intas
2384. [2384] Doritine 40mg | Tablet | J.B. Chemicals
2385. [2385] Bialol 400mg | Inhaler | Pfizer
2386. [2386] Tigexacin A 100mg | Ointment | Glenmark
2387. [2387] Rosudoc Plus 25mg | Ointment | Wockhardt
2388. [2388] Cefdipine 10mg | Ointment | Abbott
2389. [2389] Tigepraz Plus 10mg | Inhaler | Sun Pharma
2390. [2390] Tenvir M 5ml | Powder | Alembic
2391. [2391] Novezole 50mg | Ointment | Mankind
2392. [2392] Vaboconazole A 50mcg | Tablet | Aurobindo
2393. [2393] Rosuterol ER 20ml | Powder | Lupin
2394. [2394] Glimxacin 75mg | Powder | Emcure
2395. [2395] Ciddone 50mcg | Cream | Mankind
2396. [2396] Amoxfine Forte 400mg | Powder | Glenmark
2397. [2397] Sitprofen M 500mg | Ointment | Mankind
2398. [2398] Carbdoc 75mg | Injection | USV
2399. [2399] Sanoterol 5mg | Cream | Dr. Reddys
2400. [2400] Sanomicin Forte 10mg | Sachet | Alembic
2401. [2401] Tazolol 100mg | Sachet | Biocon
2402. [2402] Sulprofen 400mg | Sachet | USV
2403. [2403] Amopium 200mg | Injection | Macleods
2404. [2404] Piplone Plus 2.5mg | Inhaler | Aurobindo
2405. [2405] Amoxformin A 40mg | Ointment | Mankind
2406. [2406] Amoxsolone 1mg | Syrup | Intas
2407. [2407] Methlam 1mg | Syrup | Lupin
2408. [2408] Ganclav D 1mg | Cream | FDC
2409. [2409] Amlconazole Plus 100mg | Tablet | Lupin
2410. [2410] Sulzepam Plus 0.5mg | Powder | Abbott
2411. [2411] Atortine 100mcg | Cream | Sanofi
2412. [2412] Cilbactam O 2mg | Inhaler | Torrent
2413. [2413] Cetmicin 100mcg | Capsule | Lupin
2414. [2414] Lincet 500mg | Powder | Novartis
2415. [2415] Erypril 1gm | Powder | J.B. Chemicals
2416. [2416] Valcet 1mg | Ointment | Torrent
2417. [2417] Tazma O 2gm | Cream | Aurobindo
2418. [2418] Rabpraz 1gm | Inhaler | Sanofi
2419. [2419] Ertazine M 250mg | Powder | Alkem
2420. [2420] Meropride Plus 20mg | Tablet | Dr. Reddys
2421. [2421] Ribaclav 20mg | Powder | Mankind
2422. [2422] Colvir O 5ml | Drops | Pfizer
2423. [2423] Vancpril ER 200mcg | Sachet | Torrent
2424. [2424] Empprevir Forte 50mg | Inhaler | Pfizer
2425. [2425] Relepril M 75mg | Capsule | Pfizer
2426. [2426] Diclopine D 200mcg | Syrup | GSK
2427. [2427] Biapiride ER 200mg | Capsule | Alkem
2428. [2428] Tigedone O 5mg | Syrup | J.B. Chemicals
2429. [2429] Levdipine 1gm | Drops | Torrent
2430. [2430] Clinpride ER 2.5mg | Injection | Torrent
2431. [2431] Ampcillin ER 20mg | Tablet | Sanofi
2432. [2432] Tenpam SR 25mg | Powder | Intas
2433. [2433] Clinlukast 150mg | Ointment | FDC
2434. [2434] Releformin M 50mcg | Tablet | Alembic
2435. [2435] Glimsartan 250mg | Injection | Emcure
2436. [2436] Empprazole 50mg | Cream | Micro Labs
2437. [2437] Ticakacin 800mg | Capsule | Alembic
2438. [2438] Dapstin 0.5mg | Capsule | FDC
2439. [2439] Tazzole 40mg | Syrup | Alkem
2440. [2440] Vanccoxib 40mg | Powder | Emcure
2441. [2441] Azithpram 20ml | Syrup | USV
2442. [2442] Fosformin 0.5mg | Powder | Sun Pharma
2443. [2443] Tenpram 5ml | Drops | Torrent
2444. [2444] Doristatin 1mg | Capsule | Ipca
2445. [2445] Cloxlam SR 5mg | Sachet | Sun Pharma
2446. [2446] Tenfine 0.5mg | Drops | Serum Institute
2447. [2447] Paraconazole 1gm | Sachet | Novartis
2448. [2448] Paraprazole 25mg | Sachet | FDC
2449. [2449] Linevir SR 75mg | Cream | Pfizer
2450. [2450] Levsartan 200mg | Ointment | Mankind
2451. [2451] Tazopraz O 250mg | Ointment | USV
2452. [2452] Glimstatin O 25mg | Inhaler | Mankind
2453. [2453] Acipine D 75mg | Sachet | Zydus Cadila
2454. [2454] Linefungin 250mg | Syrup | Abbott
2455. [2455] Amosetron A 10mg | Inhaler | Micro Labs
2456. [2456] Sulline 2gm | Powder | J.B. Chemicals
2457. [2457] Novepine ER 50mg | Ointment | Sanofi
2458. [2458] Rosuvir 800mg | Injection | Alembic
2459. [2459] Sofpride ER 75mg | Powder | Aurobindo
2460. [2460] Panfungin M 400mg | Cream | Lupin
2461. [2461] Ertaformin A 500mg | Syrup | Serum Institute
2462. [2462] Penmycin Forte 200mg | Drops | Glenmark
2463. [2463] Omefungin O 5ml | Powder | Glenmark
2464. [2464] Diclozole SR 650mg | Sachet | Zydus Cadila
2465. [2465] Bacpiride A 1000mg | Tablet | Intas
2466. [2466] Tigeterol 50mg | Drops | J.B. Chemicals
2467. [2467] Telmycin 1000mg | Powder | Ipca
2468. [2468] Parakast O 50mcg | Powder | Cipla
2469. [2469] Amoline A 100mcg | Capsule | Zydus Cadila
2470. [2470] Panclav 400mg | Sachet | Emcure
2471. [2471] Azlokast 1mg | Cream | Biocon
2472. [2472] Merobuvir 25mg | Injection | Micro Labs
2473. [2473] Vildmicin 800mg | Powder | Macleods
2474. [2474] Colformin ER 500mg | Injection | Biocon
2475. [2475] Pancillin Forte 150mg | Ointment | FDC
2476. [2476] Carbformin Plus 20mg | Powder | GSK
2477. [2477] Sanocet 25mg | Syrup | Sun Pharma
2478. [2478] Ertasone D 200mcg | Capsule | Micro Labs
2479. [2479] Tenasvir 1mg | Inhaler | Aristo
2480. [2480] Imizole SR 100mcg | Ointment | Lupin
2481. [2481] Pipzole 150mg | Ointment | Torrent
2482. [2482] Vellukast SR 800mg | Drops | Torrent
2483. [2483] Azithstatin O 0.5mg | Tablet | Zydus Cadila
2484. [2484] Azithprofen 250mg | Syrup | Cipla
2485. [2485] Penbuvir 0.5mg | Sachet | Torrent
2486. [2486] Glimlone Forte 10mg | Powder | Biocon
2487. [2487] Ledasvir O 200mg | Powder | Mankind
2488. [2488] Tazozole 400mg | Capsule | USV
2489. [2489] Cetzine 250mg | Cream | J.B. Chemicals
2490. [2490] Levmycin 20mg | Ointment | Novartis
2491. [2491] Atormycin 75mg | Ointment | GSK
2492. [2492] Levline Forte 40mg | Inhaler | Glenmark
2493. [2493] Vaboprofen 0.5mg | Capsule | Biocon
2494. [2494] Amldipine ER 10ml | Syrup | Sun Pharma
2495. [2495] Ticaxacin 2.5mg | Drops | Wockhardt
2496. [2496] Noveprofen M 200mg | Cream | Alkem
2497. [2497] Dicloprazole A 0.5mg | Ointment | Aurobindo
2498. [2498] Pancet 5mg | Tablet | Serum Institute
2499. [2499] Tazzolid 0.5mg | Injection | J.B. Chemicals
2500. [2500] Vabosetron ER 5mg | Injection | J.B. Chemicals
2501. [2501] Tendone SR 150mg | Cream | GSK
2502. [2502] Panikacin Plus 2gm | Injection | Abbott
2503. [2503] Novema 1mg | Powder | FDC
2504. [2504] Nafdone SR 1mg | Inhaler | Emcure
2505. [2505] Sitformin 650mg | Tablet | FDC
2506. [2506] Cetzolid 1mg | Cream | Sanofi
2507. [2507] Merosolone O 40mg | Syrup | Sanofi
2508. [2508] Ticakast 50mcg | Ointment | Mankind
2509. [2509] Farfine 10mg | Capsule | Micro Labs
2510. [2510] Dapsetron ER 10mg | Powder | Mankind
2511. [2511] Azithcet 75mg | Injection | J.B. Chemicals
2512. [2512] Methpiride M 250mg | Tablet | Emcure
2513. [2513] Pengliptin 150mg | Sachet | Sanofi
2514. [2514] Pencycline ER 150mg | Injection | Zydus Cadila
2515. [2515] Tigepiride O 10ml | Capsule | Emcure
2516. [2516] Tigelukast 25mg | Syrup | GSK
2517. [2517] Carbral 100mcg | Capsule | Mankind
2518. [2518] Parapitant A 150mg | Capsule | Aurobindo
2519. [2519] Penpam 200mcg | Ointment | Sanofi
2520. [2520] Paralone O 100mcg | Drops | Zydus Cadila
2521. [2521] Velzepam 5ml | Powder | Cipla
2522. [2522] Sitpram SR 200mg | Tablet | FDC
2523. [2523] Colpram 150mg | Tablet | Aurobindo
2524. [2524] Omebactam 400mg | Inhaler | Torrent
2525. [2525] Empzolid SR 50mcg | Inhaler | Pfizer
2526. [2526] Eryzolid ER 150mg | Capsule | FDC
2527. [2527] Mettine D 100mcg | Capsule | Abbott
2528. [2528] Biabuvir M 0.5mg | Capsule | Sanofi
2529. [2529] Relexacin 250mg | Sachet | Serum Institute
2530. [2530] Nafkast 10mg | Sachet | J.B. Chemicals
2531. [2531] Imiprofen Plus 1000mg | Ointment | Lupin
2532. [2532] Aviasvir Plus 5ml | Inhaler | Intas
2533. [2533] Dorimine 200mcg | Injection | Glenmark
2534. [2534] Rabmicin A 800mg | Sachet | Macleods
2535. [2535] Tazopenem Plus 10mg | Inhaler | Macleods
2536. [2536] Cloxlam ER 2.5mg | Inhaler | Micro Labs
2537. [2537] Levmine 75mg | Ointment | USV
2538. [2538] Sulfenac Forte 40mg | Powder | Alembic
2539. [2539] Famkacin ER 200mcg | Ointment | Ipca
2540. [2540] Pivpril O 10ml | Injection | Intas
2541. [2541] Dorima 75mg | Capsule | Macleods
2542. [2542] Cidpraz 10mg | Cream | Alembic
2543. [2543] Novevir 500mg | Ointment | Cipla
2544. [2544] Tazcet 650mg | Syrup | Biocon
2545. [2545] Sanobactam SR 500mg | Cream | FDC
2546. [2546] Valmine 800mg | Tablet | Lupin
2547. [2547] Tazflozin 650mg | Injection | Emcure
2548. [2548] Montmycin SR 5ml | Sachet | Serum Institute
2549. [2549] Trilosartan 0.5mg | Drops | Serum Institute
2550. [2550] Valtine 1000mg | Tablet | Aurobindo
2551. [2551] Cidcillin ER 2mg | Syrup | Glenmark
2552. [2552] Vaboxacin 50mg | Sachet | Zydus Cadila
2553. [2553] Montral M 1gm | Drops | Alkem
2554. [2554] Pivbactam D 10mg | Syrup | FDC
2555. [2555] Tazdone Forte 650mg | Sachet | Torrent
2556. [2556] Amppine 40mg | Capsule | Serum Institute
2557. [2557] Vabofenac A 10ml | Inhaler | Emcure
2558. [2558] Biasolone 650mg | Inhaler | Pfizer
2559. [2559] Atorcet SR 400mg | Sachet | Biocon
2560. [2560] Clinsolone 100mcg | Syrup | Aurobindo
2561. [2561] Sanozolam D 650mg | Cream | Mankind
2562. [2562] Panizolam 100mcg | Tablet | Serum Institute
2563. [2563] Levasvir 5mg | Cream | Torrent
2564. [2564] Cilformin 25mg | Inhaler | GSK
2565. [2565] Fosxacin M 50mcg | Inhaler | Aristo
2566. [2566] Ribaprevir Plus 0.5mg | Capsule | Dr. Reddys
2567. [2567] Erylol Plus 75mg | Drops | Biocon
2568. [2568] Rabbuvir Plus 800mg | Syrup | Serum Institute
2569. [2569] Vancformin Plus 1gm | Inhaler | Biocon
2570. [2570] Ciddoc 1gm | Ointment | Novartis
2571. [2571] Clincoxib O 100mg | Drops | Lupin
2572. [2572] Amopril 250mg | Capsule | Micro Labs
2573. [2573] Ribanide A 20ml | Cream | Biocon
2574. [2574] Sitmine A 100mg | Inhaler | Sun Pharma
2575. [2575] Paniprofen 200mcg | Syrup | Dr. Reddys
2576. [2576] Acipenem 1gm | Sachet | Mankind
2577. [2577] Cetlone D 10mg | Inhaler | Mankind
2578. [2578] Trilofungin O 10ml | Cream | Dr. Reddys
2579. [2579] Famzole Forte 200mcg | Inhaler | Torrent
2580. [2580] Vabopenem Plus 50mg | Ointment | Zydus Cadila
2581. [2581] Clavformin 250mg | Cream | J.B. Chemicals
2582. [2582] Farformin ER 650mg | Powder | Cipla
2583. [2583] Cefcoxib 2mg | Capsule | Ipca
2584. [2584] Clavfungin Forte 40mg | Sachet | Macleods
2585. [2585] Famox 5mg | Drops | Biocon
2586. [2586] Carbpril D 5mg | Inhaler | FDC
2587. [2587] Empflozin O 10ml | Inhaler | Torrent
2588. [2588] Daczole M 100mg | Sachet | Alkem
2589. [2589] Pivfine Plus 650mg | Inhaler | Novartis
2590. [2590] Dapdone 20mg | Drops | Torrent
2591. [2591] Monttine A 40mg | Injection | Abbott
2592. [2592] Ticastin D 250mg | Sachet | Zydus Cadila
2593. [2593] Amlxacin 2.5mg | Capsule | Glenmark
2594. [2594] Pipxicam 0.5mg | Tablet | Pfizer
2595. [2595] Pivlone 25mg | Cream | Aurobindo
2596. [2596] Famstatin ER 20ml | Drops | Mankind
2597. [2597] Cefzepam 1mg | Sachet | Sun Pharma
2598. [2598] Sofpam 200mcg | Powder | Alkem
2599. [2599] Triloprazole 1000mg | Ointment | Ipca
2600. [2600] Panitidine O 100mg | Powder | Emcure
2601. [2601] Glimdone Forte 1mg | Capsule | Ipca
2602. [2602] Tenpiride 800mg | Syrup | GSK
2603. [2603] Ledkast A 75mg | Powder | Intas
2604. [2604] Ticaconazole 1000mg | Capsule | Abbott
2605. [2605] Meroasvir 200mcg | Capsule | Aristo
2606. [2606] Coltidine M 200mg | Tablet | Pfizer
2607. [2607] Clavcet 100mg | Capsule | Ipca
2608. [2608] Tenlam 500mg | Syrup | Aurobindo
2609. [2609] Fammine A 20ml | Syrup | Cipla
2610. [2610] Azithmycin 0.5mg | Ointment | Torrent
2611. [2611] Pivxicam A 5mg | Syrup | Aristo
2612. [2612] Vanckacin Forte 100mcg | Cream | J.B. Chemicals
2613. [2613] Vanckacin 20ml | Tablet | Alkem
2614. [2614] Parafine 20mg | Sachet | Dr. Reddys
2615. [2615] Meromycin 100mcg | Capsule | Alembic
2616. [2616] Montkacin 50mcg | Inhaler | Wockhardt
2617. [2617] Sultine 150mg | Inhaler | Micro Labs
2618. [2618] Famflozin SR 50mcg | Ointment | Pfizer
2619. [2619] Sulflozin 20ml | Sachet | Dr. Reddys
2620. [2620] Cidcycline O 1gm | Powder | Zydus Cadila
2621. [2621] Eryzosin ER 25mg | Injection | Abbott
2622. [2622] Soffenac D 1mg | Powder | Macleods
2623. [2623] Linezolid 200mcg | Cream | Pfizer
2624. [2624] Azlovir Forte 50mcg | Cream | Aristo
2625. [2625] Cloxfine 2mg | Capsule | USV
2626. [2626] Levkast 250mg | Ointment | Aurobindo
2627. [2627] Levpam Plus 5ml | Syrup | USV
2628. [2628] Amlral 75mg | Injection | Aurobindo
2629. [2629] Fosterol 2mg | Sachet | Abbott
2630. [2630] Velcycline 5mg | Cream | Emcure
2631. [2631] Valnide 800mg | Powder | Zydus Cadila
2632. [2632] Avinide Forte 2mg | Drops | Alkem
2633. [2633] Cetcet 50mcg | Syrup | Alkem
2634. [2634] Levzolid 400mg | Ointment | Micro Labs
2635. [2635] Pankacin 1mg | Syrup | FDC
2636. [2636] Sofpril M 50mg | Sachet | GSK
2637. [2637] Atorclav SR 10ml | Drops | Mankind
2638. [2638] Omeformin Plus 25mg | Injection | Alembic
2639. [2639] Trilodoc 650mg | Capsule | Cipla
2640. [2640] Farsolone 200mcg | Tablet | Macleods
2641. [2641] Pipral M 25mg | Drops | Micro Labs
2642. [2642] Ticasolone 1gm | Cream | Abbott
2643. [2643] Imisone Forte 200mcg | Inhaler | Dr. Reddys
2644. [2644] Relexicam M 800mg | Inhaler | Sun Pharma
2645. [2645] Sofstatin O 2mg | Cream | Pfizer
2646. [2646] Omepram 2mg | Drops | Aurobindo
2647. [2647] Dicloflozin 0.5mg | Ointment | FDC
2648. [2648] Panpium ER 5ml | Inhaler | Glenmark
2649. [2649] Tenbactam 200mcg | Sachet | Abbott
2650. [2650] Vildzosin O 50mg | Ointment | Aurobindo
2651. [2651] Ribapram 75mg | Capsule | Zydus Cadila
2652. [2652] Rabzolam O 40mg | Capsule | Intas
2653. [2653] Ampsetron 75mg | Tablet | Intas
2654. [2654] Tigelol Forte 0.5mg | Injection | Torrent
2655. [2655] Rosuzepam 1gm | Ointment | Glenmark
2656. [2656] Ganfenac Plus 500mg | Tablet | Lupin
2657. [2657] Pencet ER 50mg | Capsule | GSK
2658. [2658] Bacbuvir A 1000mg | Ointment | Sanofi
2659. [2659] Carbpril 5ml | Inhaler | J.B. Chemicals
2660. [2660] Paniprofen 2.5mg | Cream | Pfizer
2661. [2661] Amlkacin A 1gm | Inhaler | Aristo
2662. [2662] Atorsetron 50mg | Sachet | Cipla
2663. [2663] Fosral 40mg | Inhaler | Glenmark
2664. [2664] Clinpam M 1000mg | Tablet | Abbott
2665. [2665] Penzole 2mg | Cream | Sanofi
2666. [2666] Cilterol Forte 1gm | Drops | Emcure
2667. [2667] Ticafenac A 1gm | Drops | Aristo
2668. [2668] Cloxlol M 250mg | Sachet | Serum Institute
2669. [2669] Amoxzosin 200mcg | Powder | Ipca
2670. [2670] Dacasvir SR 25mg | Powder | Abbott
2671. [2671] Coldipine M 5mg | Drops | J.B. Chemicals
2672. [2672] Penmicin 400mg | Syrup | Micro Labs
2673. [2673] Parabuvir D 5mg | Tablet | Macleods
2674. [2674] Vildpiride 250mg | Syrup | J.B. Chemicals
2675. [2675] Panixacin 1000mg | Inhaler | Macleods
2676. [2676] Dapzepam D 1gm | Drops | FDC
2677. [2677] Vallam M 2.5mg | Drops | Biocon
2678. [2678] Cloxfungin 20ml | Tablet | Aurobindo
2679. [2679] Parapitant A 100mcg | Cream | Micro Labs
